Name,Genres,Language,Rating,OrderedSet
Adam-12,"['Drama', 'Action', 'Crime']",English,7.4,"Adam-12 | ['Drama', 'Action', 'Crime'] | English | 7.4"
Adventure Inc.,"['Action', 'Adventure']",English,7.3,"Adventure Inc. | ['Action', 'Adventure'] | English | 7.3"
Adventure Time,"['Comedy', 'Adventure', 'Fantasy']",English,7.8,"Adventure Time | ['Comedy', 'Adventure', 'Fantasy'] | English | 7.8"
Adventures of Superman,"['Action', 'Adventure', 'Crime']",English,7.2,"Adventures of Superman | ['Action', 'Adventure', 'Crime'] | English | 7.2"
Aeon Flux,"['Action', 'Science-Fiction']",English,7.4,"Aeon Flux | ['Action', 'Science-Fiction'] | English | 7.4"
Agatha Christie's Marple,"['Drama', 'Crime', 'Mystery']",English,7.6,"Agatha Christie's Marple | ['Drama', 'Crime', 'Mystery'] | English | 7.6"
Agatha Christie's Poirot,"['Drama', 'Crime', 'Mystery']",English,8.1,"Agatha Christie's Poirot | ['Drama', 'Crime', 'Mystery'] | English | 8.1"
Air America,"['Action', 'Adventure']",English,,"Air America | ['Action', 'Adventure'] | English"
Air City,"['Drama', 'Romance']",Korean,,"Air City | ['Drama', 'Romance'] | Korean"
Air Master,"['Action', 'Anime']",Japanese,7,"Air Master | ['Action', 'Anime'] | Japanese | 7"
Air Warriors,"['Drama', 'Action', 'War']",English,6.7,"Air Warriors | ['Drama', 'Action', 'War'] | English | 6.7"
Air Ways,"['Drama', 'Travel']",English,,"Air Ways | ['Drama', 'Travel'] | English"
Airplane Repo,['Drama'],English,,Airplane Repo | ['Drama'] | English
Airplane Repo: Wheels Up,[],English,,Airplane Repo: Wheels Up | [] | English
Airwolf,"['Action', 'Adventure', 'Science-Fiction']",English,7.2,"Airwolf | ['Action', 'Adventure', 'Science-Fiction'] | English | 7.2"
Akame Ga Kill!,"['Action', 'Anime', 'Fantasy']",Japanese,7.5,"Akame Ga Kill! | ['Action', 'Anime', 'Fantasy'] | Japanese | 7.5"
Al Jazeera Investigations,[],English,,Al Jazeera Investigations | [] | English
Alaska Off-Road Warriors,"['Adventure', 'Sports']",English,,"Alaska Off-Road Warriors | ['Adventure', 'Sports'] | English"
Alaska: Battle on the Bay,"['Adventure', 'Nature']",English,,"Alaska: Battle on the Bay | ['Adventure', 'Nature'] | English"
Alaska: The Last Frontier,['Adventure'],English,8,Alaska: The Last Frontier | ['Adventure'] | English | 8
Alaskan Bush People,"['Adventure', 'Nature']",English,6.6,"Alaskan Bush People | ['Adventure', 'Nature'] | English | 6.6"
Alcatraz,"['Drama', 'Science-Fiction', 'Thriller']",English,7,"Alcatraz | ['Drama', 'Science-Fiction', 'Thriller'] | English | 7"
Aldnoah.Zero,"['Action', 'Adventure', 'Anime', 'Science-Fiction']",Japanese,6.4,"Aldnoah.Zero | ['Action', 'Adventure', 'Anime', 'Science-Fiction'] | Japanese | 6.4"
ALF,"['Comedy', 'Family', 'Science-Fiction']",English,7.5,"ALF | ['Comedy', 'Family', 'Science-Fiction'] | English | 7.5"
Ali G: Rezurection,['Comedy'],English,6,Ali G: Rezurection | ['Comedy'] | English | 6
Alias,"['Drama', 'Action', 'Espionage']",English,8.1,"Alias | ['Drama', 'Action', 'Espionage'] | English | 8.1"
Alice,"['Adventure', 'Fantasy']",English,7.2,"Alice | ['Adventure', 'Fantasy'] | English | 7.2"
All in the Family,"['Comedy', 'Family']",English,7.8,"All in the Family | ['Comedy', 'Family'] | English | 7.8"
All-American Makers,['DIY'],English,,All-American Makers | ['DIY'] | English
All-Star Academy,['Food'],English,,All-Star Academy | ['Food'] | English
Allegiance,"['Drama', 'Crime', 'Thriller']",English,6.9,"Allegiance | ['Drama', 'Crime', 'Thriller'] | English | 6.9"
Ally McBeal,"['Drama', 'Comedy', 'Legal']",English,7.2,"Ally McBeal | ['Drama', 'Comedy', 'Legal'] | English | 7.2"
Almost Heroes,['Comedy'],English,,Almost Heroes | ['Comedy'] | English
Almost Human,"['Drama', 'Crime', 'Science-Fiction']",English,7.7,"Almost Human | ['Drama', 'Crime', 'Science-Fiction'] | English | 7.7"
Almost Royal,['Comedy'],English,6.7,Almost Royal | ['Comedy'] | English | 6.7
Aloha Vet,"['Nature', 'Medical']",English,,"Aloha Vet | ['Nature', 'Medical'] | English"
Alone,"['Adventure', 'Nature']",English,7.7,"Alone | ['Adventure', 'Nature'] | English | 7.7"
Alpha House,"['Drama', 'Comedy']",English,7.1,"Alpha House | ['Drama', 'Comedy'] | English | 7.1"
Alphas,"['Drama', 'Science-Fiction', 'Supernatural']",English,7.5,"Alphas | ['Drama', 'Science-Fiction', 'Supernatural'] | English | 7.5"
Altered Course,['Sports'],English,,Altered Course | ['Sports'] | English
Alvinnn!!! and the Chipmunks,"['Children', 'Music']",English,5.4,"Alvinnn!!! and the Chipmunks | ['Children', 'Music'] | English | 5.4"
Amazing Stories,"['Fantasy', 'Science-Fiction']",English,7.8,"Amazing Stories | ['Fantasy', 'Science-Fiction'] | English | 7.8"
America the Beautiful,"['Nature', 'Travel']",English,,"America the Beautiful | ['Nature', 'Travel'] | English"
America Unearthed,['History'],English,7.7,America Unearthed | ['History'] | English | 7.7
America's Got Talent,['Music'],English,5.7,America's Got Talent | ['Music'] | English | 5.7
America's Most Desperate Kitchens,['DIY'],English,,America's Most Desperate Kitchens | ['DIY'] | English
America's Next Top Model,[],English,5.5,America's Next Top Model | [] | English | 5.5
America's Next Weatherman,['Comedy'],English,,America's Next Weatherman | ['Comedy'] | English
American Bandstand,['Music'],English,,American Bandstand | ['Music'] | English
